Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Sint Maarten (Dutch part),SXM,54.749
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Slovak Republic,SVK,64.859
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Slovenia,SVN,45.527
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Solomon Islands,SLB,153.308
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Somalia,SOM,273.491
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,South Africa,ZAF,277.004
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,South Sudan,SSD,305.137
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Spain,ESP,38.837
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Sri Lanka,LKA,73.577
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,St. Kitts and Nevis,KNA,111.256
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,St. Lucia,LCA,90.863
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,St. Martin (French part),MAF,43.283
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,St. Vincent and the Grenadines,VCT,113.866
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Sudan,SDN,176.556
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Suriname,SUR,150.294
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Sweden,SWE,39.95
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Switzerland,CHE,36.484
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Syrian Arab Republic,SYR,143.58
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Tajikistan,TJK,127.552
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Tanzania,TZA,211.721
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Thailand,THA,81.683
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Timor-Leste,TLS,163.928
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Togo,TGO,277.686
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Tonga,TON,156.78
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Trinidad and Tobago,TTO,107.592
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Tunisia,TUN,67.381
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Turkiye,TUR,54.342
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Turkmenistan,TKM,120.273
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Turks and Caicos Islands,TCA,69.733
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Tuvalu,TUV,220.319
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Uganda,UGA,280.116
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Ukraine,UKR,79.053
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,United Arab Emirates,ARE,49.538
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,United Kingdom,GBR,54.081
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,United States,USA,80.429
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Uruguay,URY,78.547
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Uzbekistan,UZB,121.508
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Vanuatu,VUT,141.941
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,"Venezuela, RB",VEN,92.48
